id;content;image
1;Two players have scored Premier League penalties with both feet: Bobby Zamora and Obafemi Martins.;
2;Ryan Giggs has been substituted more times than any other player (134). OK, it's probably because he played for so long. But still…;https://resources.premierleague.com/premierleague/photos/players/250x250/p3.png
3;Mario Balotelli’s only assist in the Premier League was for Sergio Aguero’s title-winning goal vs QPR.;https://resources.premierleague.com/premierleague/photos/players/250x250/p42493.png
4;Wayne Rooney, Gareth Bale and Kevin Davies are the only players to score, assist and score an own goal in a single Premier League game.;
5;Bale is the one of the three above to also get a yellow card in the same game.;https://resources.premierleague.com/premierleague/photos/players/250x250/p36903.png
6;Man United have never lost a Premier League game at Old Trafford in which they have been ahead at half-time. A fact which exists largely thanks to one mane, Sir Alex Ferguson.;https://resources.premierleague.com/premierleague/badges/t1.png
7;Alan Shearer has missed the most Premier League penalties (11). In fairness, he's also scored the most (56).;https://resources.premierleague.com/premierleague/photos/players/250x250/p1.png
8;2015/16 was the first time West Ham had recorded a positive goal difference in a top-flight season since 1985/86.;https://resources.premierleague.com/premierleague/badges/t21.png
9;Former England goalkeeper Paul Robinson has scored, assisted and won a penalty in the Premier League. He also has more Premier League assists than any other keeper (five).;https://resources.premierleague.com/premierleague/photos/players/250x250/p1801.png
10;James Milner has scored in 47 different Premier League games - and hasn't lost any of them (a record).;https://resources.premierleague.com/premierleague/photos/players/250x250/p15157.png
11;Only three players born after the Premier League began (August 1992) have scored Premier League hat-tricks: Raheem Sterling, Harry Kane and Romelu Lukaku.;
12;The only person born before 1960 to score a Premier League hat-trick is Gordan Strachan.;https://i.imgur.com/uU3lZ9t.jpg
13;David (x14) & James (x11) were the most common first names in the Premier League in 2010/11 - yet it was the first season in which David James did not appear.;https://resources.premierleague.com/premierleague/photos/players/250x250/p1590.png
14;"Newcastle United won 34 points from losing positions in 2001/02, the most by a team in a single Premier League season. It was also the same number of points that they won in total when relegated seven years later.""";https://resources.premierleague.com/premierleague/badges/t4.png
15;In 2014/15, George Boyd became the fourth player to play for two relegated teams in the same Premier League campaign (others were Mark Robins in 94/95, Steve Kabba in 06/07 and David Nugent in 09/10).;https://resources.premierleague.com/premierleague/photos/players/250x250/p28244.png
16;In 2014/15, Leicester City spent longer at the bottom of the table without being relegated than any side in Premier League history (140 days). And the next season is history…;https://resources.premierleague.com/premierleague/badges/t13.png
17;Cesar Azpilicueta (2016/17), Wes Morgan (2015/16), John Terry (2014/15) and Gary Pallister (1992/93) are the only outfield players to play every minute of the season for a Premier League title-winning side.;
18;Peter Crouch has scored more headed goals (50) than 16 of the teams who have played in the Premier League.;https://resources.premierleague.com/premierleague/photos/players/250x250/p3773.png
19;Nuri Sahin (formerly at Liverpool) has played the most Premier League games of any player to be substituted off in all of their PL appearances (7).;https://i2-prod.dailystar.co.uk/incoming/article20499758.ece/ALTERNATES/s615b/1_httpscdnimagesdailystarcoukdynamic122photos776000900x738504776.jpg
20;Richard Wright has played a combined 12 Premier League games for Arsenal (12) and Man City (0)… and has two title medals.;https://resources.premierleague.com/premierleague/photos/players/250x250/p1101.png
21;Iago Aspas took more corners (often badly) than he had shots in the Premier League.;https://d3nfwcxd527z59.cloudfront.net/content/uploads/2019/09/17134705/Iago-Aspas-Liverpool.jpg
22;In 1997/98, Andy Roberts played 37 games in the Premier League and four of them came against Arsenal (two for Palace, two for Wimbledon).;https://i.holmesdale.net/news/1522.jpg
23;Terry Connor (former Wolves boss) is the only manager to take charge of more than 10 Premier League games and not win a single one.;https://sm.imgix.net/12/08/connor25.02.jpg?w=640&h=480&auto=compress,format&fit=clip
24;In 2016/17, Hull became only the third team to be top of the Premier League and be relegated in the same season (after Charlton in 1998/99 and Bolton in 2011/12).;https://resources.premierleague.com/premierleague/badges/t88.png
25;Only two players have ever scored a hat-trick of headers in a Premier League match: Duncan Ferguson for Everton (vs Bolton in December 1997) and Salomon Rondon for West Brom (vs Swansea in December 2016).;
26;The highest attendance was 76,398 for Man Utd vs. Blackburn in 2007. While the lowest attendance was 3,039 for Wimbledon vs. Everton 1993.;
27;Chelsea lead the yellow card charts with over 1200 bookings.;https://resources.premierleague.com/premierleague/badges/t8.png
28;Blackburn lead the red card charts with an amazing 75 red cards.;https://resources.premierleague.com/premierleague/badges/t5.png
29;Premier League has the highest revenue of any football (soccer) league, and fourth highest of major sports leagues (behind NFL, MLB and NBA).;
30;Manchester United have won more EPL titles (13) than all the other teams put together (9). ;https://resources.premierleague.com/premierleague/badges/t1.png
31;Manchester City and Blackburn Rovers are the only two teams that have both won the EPL and been relegated from it (not necessarily in that order).;
32;Brad Friedel has played 310 consecutive premier league games.;https://resources.premierleague.com/premierleague/photos/players/250x250/p1803.png
33;Petr Cech has 138 clean sheets for Chelsea in Premier League. Most by a goalie for a single club.;https://resources.premierleague.com/premierleague/photos/players/250x250/p11334.png
34;Derby County won just once in the 2007-08 season. Fewest by any team in a single season.;https://resources.premierleague.com/premierleague/badges/t24.png
35;Robbie Fowler scored the fastest hat-trick in Premier League. Against Arsenal in 4 minutes 23 seconds.;https://resources.premierleague.com/premierleague/photos/players/250x250/p1794.png
36;Only 7 clubs Arsenal, Aston Villa, Chelsea, Everton, Liverpool, Manchester United, and Tottenham have never been relegated since the EPL started in 1992.;
37;English Manager had never won Premier League.;
