id;record;image
1;Most titles: 13, Manchester United;https://resources.premierleague.com/premierleague/badges/t1.png
2;"Biggest title-winning margin: 19 points, 2017–18; Manchester City (100 points) over Manchester United (81 points)";https://resources.premierleague.com/premierleague/badges/t43.png
3;Most points in a season: 100, Manchester City (2017–18);https://resources.premierleague.com/premierleague/badges/t43.png
4;Fewest points in a season: 11, Derby County (2007–08);https://resources.premierleague.com/premierleague/badges/t24.png
5;Fewest defeats in a season: 0, Arsenal (2003–04);https://resources.premierleague.com/premierleague/badges/t3.png
6;Most goals scored in a season: 106, Manchester City (2017–18);https://resources.premierleague.com/premierleague/badges/t43.png
7;Fewest goals conceded in a season: 15, Chelsea (2004–05);https://resources.premierleague.com/premierleague/badges/t8.png
8;Most Premier League appearances: 653, Gareth Barry (2 May 1998 to 24 February 2018);https://resources.premierleague.com/premierleague/photos/players/250x250/p1632.png
9;Most seasons appeared in: 22, Ryan Giggs (every season from 1992–93 to 2013–14);https://resources.premierleague.com/premierleague/photos/players/250x250/p3.png
10;First Premier League goal: Brian Deane (for Sheffield United v. Manchester United, 15 August 1992);https://resources.premierleague.com/premierleague/photos/players/250x250/p1855.png
11;Most consecutive Premier League matches scored in: 11, Jamie Vardy (for Leicester City, 29 August – 28 November 2015);https://i2-prod.mirror.co.uk/incoming/article6920136.ece/ALTERNATES/s615/Leicester-City-v-Manchester-United.jpg
12;Most Premier League goals: 260, Alan Shearer;https://resources.premierleague.com/premierleague/photos/players/250x250/p1.png
13;Fastest goal: 7.69 seconds, Shane Long (for Southampton v. Watford, 23 April 2019);https://ftw.usatoday.com/wp-content/uploads/sites/90/2019/04/afp-afp_1fm49p.jpg?w=1000&h=600&crop=1
14;Most Premier League hat-tricks: 12, Sergio Agüero;https://resources.premierleague.com/premierleague/photos/players/250x250/p37572.png
15;Fastest Premier League hat-trick: 2 minutes 56 seconds, Sadio Mané (Southampton 6–1 Aston Villa, 16 May 2015);https://img.inews.co.id/media/822/files/inews_new/2020/05/16/sadio_mane.jpg
16;Quickest player to reach 50 assists: Kevin De Bruyne, 123 matches;https://resources.premierleague.com/premierleague/photos/players/250x250/p61366.png
17;Most Premier League clean sheets: 202, Petr Cech;https://resources.premierleague.com/premierleague/photos/players/250x250/p11334.png
